Numéro;Heure;Pos_X_centrale;Pos_Y_centrale;Pos_Z_centrale;Angle_X_centrale;Angle_Y_centrale;Angle_Z_centrale
;x10 µs;m;m;m;rad;rad;rad
489;38176500;32572;32868;33749;11;22;33;
490;38259000;32572;32868;33749;11;22;33;
491;38341400;32573;32868;33749;11;22;33;
492;38423800;32572;32868;33749;11;22;33;
493;38506400;32572;32868;33749;11;22;33;
494;38588800;32573;32868;33749;11;22;33;
495;38671400;32573;32868;33749;11;22;33;
496;38753800;32573;32868;33749;11;22;33;
497;38836200;51005;32868;33749;11;22;33;
498;38918800;51005;32868;33749;11;22;33;
499;39001200;51005;32868;33749;11;22;33;
500;39083500;32573;32868;33749;11;22;33;
501;39166100;32573;32868;33749;11;22;33;
502;39248300;32573;32867;33749;11;22;33;
503;39330700;32573;32867;33749;11;22;33;
504;39413100;32573;32868;33749;11;22;33;
505;39495600;32574;32868;33749;11;22;33;
506;39578200;32574;32868;33749;11;22;33;
507;39660500;32573;32868;33749;11;22;33;
508;39742900;32573;32867;33749;11;22;33;
509;39825400;32573;32867;33749;11;22;33;
510;39907800;32573;32868;33749;11;22;33;
511;39990400;32573;32868;33749;11;22;33;
512;40072700;65340;32868;33749;11;22;33;
513;40155200;32572;32868;33749;11;22;33;
514;40237800;32572;32868;33749;11;22;33;
515;40320000;32572;32868;33749;11;22;33;
516;40402400;32711;32867;33749;11;22;33;
517;40485000;32711;32867;33749;11;22;33;
518;40567400;32573;32868;33749;11;22;33;
519;40650000;32573;32868;33749;11;22;33;
520;40732400;32572;32867;33749;11;22;33;
521;40815000;32573;32867;33749;11;22;33;
522;40897600;32573;32867;33749;11;22;33;
523;40904900;32573;32967;33749;11;22;33;
524;40912400;32573;32967;33749;11;22;33;
525;40919700;32573;32967;33749;11;22;33;
526;40927100;32573;32868;33749;11;22;33;
527;41009600;32573;32868;33749;11;22;33;
528;41092000;32573;32869;33749;11;22;33;
529;41174500;32572;32867;33749;11;22;33;
530;41257000;32572;32867;33749;11;22;33;
531;41339400;32574;32868;33749;11;22;33;
532;41422000;32573;32967;33749;11;22;33;
533;41504500;32573;32967;33749;11;22;33;
534;41586700;32573;32867;33749;11;22;33;
535;41669100;32573;32867;33749;11;22;33;
536;41751500;32572;32869;51157;11;22;33;
537;41834100;32573;32867;33749;11;22;33;
538;41841500;32573;32867;33749;11;22;33;
539;41848900;32573;32867;33749;11;22;33;
540;41931400;32711;32867;33749;11;22;33;
541;42014000;32711;32867;33749;11;22;33;
542;42096300;32573;32867;33749;11;22;33;
543;42178800;32573;32867;33749;11;22;33;
544;42261000;32573;32868;51157;11;22;33;
545;42343600;32573;32868;33749;11;22;33;
546;42426000;32573;32868;33749;11;22;33;
